direccion;superficie_m2;dormitorios;plazas_totales;rural;estudio;fecha_alta;signatura
CL COLONIA STA. ISABEL, 50, Es:P Pl:03 Pt:C;89.00;3;5;N;N;2017-12-12T00:00:00;CV-VUT0461221-A
CL COLONIA STA. ISABEL, 9, Es:B Pl:05 Pt:I;69.00;2;3;N;N;2024-01-02T00:00:00;CV-VUT0504157-A
CL COTTOLENGO, 1, Es:1 Pl:01 Pt:42;108.00;5;9;N;N;2025-03-28T00:00:00;CV-VUT0515429-A
CL DR MARAÑON, 13, Bloque:1 Es:1 Pl:00 Pt:04;147.00;2;3;N;N;2015-10-19T00:00:00;CV-VUT0444533-A
CL DR MARAÑON, 14, Es:C Pl:01 Pt:A;116.00;2;3;N;N;2023-10-05T00:00:00;CV-VUT0502176-A
CL DR TRUETA, 16, Pl:01 Pt:IZ;141.00;3;6;N;N;2023-02-09T00:00:00;CV-VUT0495033-A
CL ESPRONCEDA, 6, Es:5 Pl:03 Pt:A;146.00;4;5;N;N;2025-07-30T00:00:00;CV-VUT0517953-A
CL FRESNO, 20;216.00;2;3;N;N;2021-06-10T00:00:00;CV-VUT0486496-A
CL GABRIEL MIRO, 9, Pl:02 Pt:DR;137.00;3;6;N;N;2024-07-16T00:00:00;CV-VUT0510236-A
CL GENETA LA, 2, Es:T Pl:OD Pt:OS;334.00;4;7;N;N;2024-12-20T00:00:00;CV-VUT0513440-A
CL HERNAN CORTES, 24, Pl:03 Pt:DR;88.00;3;6;N;N;2025-01-29T00:00:00;CV-VUT0514120-A
CL HUERTA LA, 132, Es:2 Pl:01 Pt:D;92.00;3;4;N;N;2023-07-04T00:00:00;CV-VUT0499816-A
CL HUERTA LA, 136, Es:4 Pl:03 Pt:B;90.00;3;4;N;N;2018-03-07T00:00:00;CV-VUT0464441-A
CL HUERTA LA, 14, Pl:01 Pt:IZ;132.00;4;8;N;N;2023-06-15T00:00:00;CV-VUT0499298-A
CL HUERTA LA, 146, Es:9 Pl:01 Pt:B;94.00;3;4;N;N;2018-03-07T00:00:00;CV-VUT0464440-A
CL JORGE JUAN, 29, Pl:01 Pt:IZ;100.00;3;6;N;N;2025-01-29T00:00:00;CV-VUT0514116-A
CL JUAN RAMON JIMENEZ, 6, Pl:03;172.00;4;7;N;N;2024-03-25T00:00:00;CV-VUT0506482-A
CL L'ISLE D'ABEAU, 6, Es:1 Pl:00 Pt:70;182.00;3;5;N;N;2018-06-19T00:00:00;CV-VUT0468572-A
CL LILLO JUAN, 125, Pl:01 Pt:DR;68.00;3;4;N;N;2025-02-13T00:00:00;CV-VUT0514238-A
CL LIMONEROS, 24, Es:T Pl:OD Pt:OS;439.00;12;18;N;N;2025-07-08T00:00:00;CV-VUT0517601-A
CL MANUEL DGUEZ MARGARIT, 33, Es:1 Pl:02 Pt:DR;119.00;4;8;N;N;2025-04-02T00:00:00;CV-VUT0515597-A
CL MAYOR, 25, Es:1 Pl:01 Pt:B;72.00;1;2;N;N;2026-01-27T00:00:00;CV-VUT0519988-A
CL MAYOR, 78, Es:1 Pl:01 Pt:A;92.00;2;4;N;N;2024-02-26T00:00:00;CV-VUT0505786-A
CL MAYOR, 78, Es:1 Pl:01 Pt:B;92.00;2;4;N;N;2024-02-26T00:00:00;CV-VUT0505787-A
CL MAYOR, 98, Es:1 Pl:02 Pt:08;80.00;3;4;N;N;2018-05-07T00:00:00;CV-VUT0466340-A
CL NUÑEZ DE BALBOA, 6, Es:1 Pl:01 Pt:E;116.00;4;7;N;N;2024-01-24T00:00:00;CV-VUT0504710-A
CL PELAYO, 15, Pl:-1 Pt:28;22.00;3;6;N;N;2017-11-30T00:00:00;CV-VUT0460722-A
CL PINTOR MURILLO, 4, Pl:01;221.00;8;10;N;N;2025-04-03T00:00:00;CV-VUT0515672-A
CL PINTOR PICASSO, 1, Pl:02 Pt:DR;123.00;3;4;N;N;2018-03-07T00:00:00;CV-VUT0464442-A
CL POETA GARCIA LORCA, 24, Es:1 Pl:04 Pt:C;159.00;3;5;N;N;2024-09-20T00:00:00;CV-VUT0511587-A
CL POU DEL, 9, Es:T Pl:OD Pt:OS;189.00;3;6;N;N;2023-06-01T00:00:00;CV-VUT0499661-A
CL RAFAEL SABATER LLOPIS, 1, Pl:03 Pt:IZ;101.00;3;4;N;N;2023-07-04T00:00:00;CV-VUT0499817-A
CL RIO DUERO, 34, Pl:01;502.00;6;12;N;N;2023-05-04T00:00:00;CV-VUT0497637-A
CL RIO GUADALQUIVIR, 7, Es:T Pl:OD Pt:OS;338.00;5;10;N;N;2025-03-11T00:00:00;CV-VUT0514842-A
CL RIO TAJO, 13, Pl:00;144.00;4;8;N;N;2024-06-14T00:00:00;CV-VUT0509374-A
CL RIO TAJO, 15, Es:T Pl:OD Pt:OS;511.00;5;10;N;N;2024-12-16T00:00:00;CV-VUT0513335-A
CL ROBLE, 26, Es:T Pl:OD Pt:OS;247.00;3;6;N;N;2026-02-09T00:00:00;CV-VUT0520147-A
CL ROSSINYOL, 4, Es:T Pl:OD Pt:OS;355.00;5;10;N;N;2021-02-18T00:00:00;CV-VUT0485046-A
CL SAN ISIDRO, 11, Es:1 Pl:01 Pt:IZ;89.00;3;4;N;N;2022-11-28T00:00:00;CV-VUT0493991-A
CL SAN JUAN, 17C, Pl:04 Pt:1;124.00;4;5;N;N;2018-05-07T00:00:00;CV-VUT0466338-A
CL SAN JUAN, 24, Pl:03 Pt:IZ;73.00;2;4;N;N;2025-01-19T00:00:00;CV-VUT0513809-A
CL TIBI, 4, Pl:02 Pt:IZ;93.00;3;4;N;N;2023-07-04T00:00:00;CV-VUT0499821-A
CL TORRES QUEVEDO, 18, Es:1 Pl:03 Pt:DR;87.00;3;6;N;N;2022-09-30T00:00:00;CV-VUT0492515-A
CL TRAFALGAR, 1, Pl:01 Pt:DR;86.00;3;4;N;N;2018-03-08T00:00:00;CV-VUT0464462-A
CL VALENCIA, 22, Pl:03 Pt:DR;97.00;3;4;N;N;2018-06-12T00:00:00;CV-VUT0468242-A
CL VELAZQUEZ, 32, Pl:01 Pt:DR;95.00;3;6;N;N;2023-11-29T00:00:00;CV-VUT0503543-A
CL VELAZQUEZ, 33, Es:1 Pl:02 Pt:CN;135.00;4;5;N;N;2018-05-07T00:00:00;CV-VUT0466335-A
CL VELAZQUEZ, 45, Es:1 Pl:00 Pt:IZ;103.00;4;5;N;N;2025-04-08T00:00:00;CV-VUT0515786-A
CL ZORRILLA, 10H, Pl:02 Pt:3;100.00;3;4;N;N;2019-06-04T00:00:00;CV-VUT0476393-A
CM COVES LES, 19, Es:T Pl:OD Pt:OS;222.00;5;10;N;N;2017-10-16T00:00:00;CV-VUT0459215-A
CM MAHONES DEL, 20, Es:T Pl:OD Pt:OS;633.00;9;18;N;N;2025-04-24T00:00:00;CV-VUT0516196-A
CM MONTNEGRE, 19, Es:TO Pl:DO Pt:S;424.00;6;11;N;N;2024-05-08T00:00:00;CV-VUT0507848-A
CM SENDERA DE LA, 106, Es:T Pl:OD Pt:OS;82.00;4;8;N;N;2025-11-18T00:00:00;CV-VUT0519157-A
CR AGOST, 18, Es:1 Pl:00 Pt:04;202.00;1;2;N;N;2023-03-29T00:00:00;CV-VUT0496650-A
CR CASTALLA, 46, Es:TO Pl:DO Pt:S;528.00;6;11;N;N;2023-06-06T00:00:00;CV-VUT0498903-A
CR CASTALLA, 77, Es:T Pl:OD Pt:OS;296.00;4;8;N;N;2019-11-12T00:00:00;CV-VUT0479655-A
CR CASTALLA, 79, Pl:00;195.00;5;10;N;N;2019-11-12T00:00:00;CV-VUT0479656-A
PD BOQUERES POLIG D, 50, Es:T Pl:OD Pt:OS;610.00;12;24;N;N;2018-04-20T00:00:00;CV-VUT0465784-A
PD TORREGROSES POLIG C, 67, Es:TO Pl:DO Pt:S;193.00;1;2;N;N;2023-06-20T00:00:00;CV-VUT0499396-A
PD TORREGROSES POLIG C, 88, Es:T Pl:OD Pt:OS;322.00;4;8;N;N;2026-03-07T00:00:00;CV-VUT0520455-A
PS NENUFARES DE LOS, 7B, Es:T Pl:OD Pt:OS;220.00;4;8;N;N;2024-05-06T00:00:00;CV-VUT0508218-A
PS OLIVOS, 69, Pl:00;211.00;3;6;N;N;2021-05-24T00:00:00;CV-VUT0486157-A
CL MARQUES DE MOLINS, 5, Es:1 Pl:00 Pt:CN;63.00;2;3;N;N;2025-01-28T00:00:00;CV-VUT0513993-A
PS ROSALES LOS, 14A, Es:T Pl:OD Pt:OS;138.00;5;10;N;N;2018-02-15T00:00:00;CV-VUT0463786-A
CL POZO, 54, Es:1 Pl:00 Pt:01;64.00;3;6;N;N;2025-01-29T00:00:00;CV-VUT0514003-A
