fecha_captura,fuente,pagina,titulo,precio_mes_eur,habitaciones,superficie_m2,zona,planta,ascensor,descripcion_resumida,url_fuente
2026-08-24,Idealista,p1,Piso en Echegaray,1000,4,100,Centro,3ª,sí,Estudiantes; terraza; 1 baño + aseo,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,Piso en Calle Bailén,1500,5,100,Centro,3ª,no,Habitaciones; estudiantes/empresas; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,"Piso en Calle San Juan, 27",990,3,90,Centro,2ª,no,Solo estudiantes; sep-2026 a jul-2027,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p1,"Piso en Calle Torres Quevedo, 29",980,4,90,Centro,1ª,sí,Temporada lectiva estudiantes; terraza,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,"Casa independiente Ronda del Mahones, 14",800,2,65,Los Girasoles,,no,Curso 26/27; estudiantes; suministros incluidos; garaje,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,"Piso Calle Pintor Murillo, 9",900,3,102,Centro,2ª,no,Curso escolar; preferentemente estudiantes,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,Casa adosada Villamontes-Boqueres,1300,3,100,Villamontes-Boqueres,,no,Adosado; zona Girasoles,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,"Piso Calle Bailén, 65",1000,3,95,Centro,3ª,sí,Larga estancia; no estudiantes,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,Casa de campo Camino de la Sendera,850,1,50,Sol y Luz,,no,Finca rústica; larga descripción rural,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,Casa independiente Partida Boqueres,750,1,30,Villamontes-Boqueres,,no,Temporada; jardín 90 m²,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,"Dúplex Calle Aeroplano, 2",1300,4,110,Centro,3ª,sí,A pie de campus; 4 chicas universitarias; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,Piso Centro,1200,3,90,Centro,4ª,sí,Estudiantes; cerca Centro de Salud 2 y TRAM,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,Estudio Centro,900,0,45,Centro,1ª,sí,Estudio 40-45 m²; céntrico,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,"Piso Calle Salamanca, 10",1000,3,80,Centro,1ª,no,Larga estancia; solvencia requerida,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,"Piso Calle Colonia Santa Isabel, 2",850,3,100,Haygon - Universidad,Bajo,no,Características no detalladas en resultado,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,"Piso Pi y Margall, 71",825,2,80,Centro,3ª,sí,Amueblado; 10 min UA; TRAM/Cercanías,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,"Piso Calle Ciudad Jardín, 4",1050,3,100,Centro,1ª,sí,Estudiantes; 5 min UA; garaje opcional,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,"Piso Calle Castellet, 6",899,3,100,Centro,3ª,sí,Estudiantes; a pasos de UA; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,"Piso Núñez de Balboa, 2",840,3,90,Centro,1ª,no,Solo estudiantes; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p2,Piso Alcalde Felipe Mallol,750,1,40,Alcalde Felipe Mallol,2ª,sí,Larga estancia; estudio; 2 balcones,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,"Piso Calle Velázquez, 32",850,3,105,Centro,2ª,no,Larga estancia; amueblado; cerca TRAM y universidad,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,"Piso Manuel Domínguez Margarit, 14-16",1520,1,98,Centro,Bajo,no,Solo estudiantes; 4 habitaciones a 395 € cada una,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,"Chalet Calle Gorrión, 9",2400,4,500,Villamontes-Boqueres,,no,Garaje; vivienda grande; afueras,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,"Piso Calle Bailén, 65",1080,3,95,Centro,4ª,sí,Preferiblemente estudiantes; 5 min UA,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Piso Avenida de Sevilla,1200,4,100,Centro,3ª,sí,Solo estudiantes; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Piso Calle Montoyos,1450,5,120,Centro,2ª,no,5 dormitorios; 15 min UA; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,"Piso Centro, Alcalde Felipe Mallol",900,3,90,Alcalde Felipe Mallol,Bajo,no,Solo estudiantes; patio grande; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,"Piso Avenida de la Llibertat, 13",1900,5,100,Centro,2ª,sí,Reformado; estudiantes; junto UA,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,"Piso Calle Gabriel Miró, 34",1200,4,130,Centro,1ª,no,Por habitaciones; estudiantes; 5 min UA,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,"Piso Calle San Isidro, 30",1200,4,110,Centro,2ª,sí,Estudiantes; 10 min UA; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Estudio Calle Pizarro,630,0,42,Centro,1ª,sí,200 m UA; estudiantes; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Piso Calle Bautista Aznar,800,2,75,Centro,1ª,sí,200 m UA; estudiantes; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,"Dúplex Calle Aeroplano, 2",1500,4,110,Centro,Entreplanta,sí,Reformado; 4 dormitorios; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,"Chalet Calle Doctor Marañón, 13",1350,3,160,Centro,,no,Garaje; piscina; 300 m TRAM; junto Villa Universitaria,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Casa pueblo Alcalde Felipe Mallol,1050,3,112,Alcalde Felipe Mallol,,no,Larga temporada; garaje,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,"Dúplex Calle Portugal, 2",1200,4,115,Centro,2ª,sí,2 habitaciones disponibles; chicas estudiantes,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Piso Calle Alicante s/n,990,3,110,Alcalde Felipe Mallol,5ª,sí,Solo estudiantes; TRAM; 2 baños,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Piso Centro,1200,3,90,Centro,5ª,sí,Ático estudiantes; frente universidad; suministros incluidos,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Piso Bautista Aznar,1200,4,121,Centro,2ª,sí,Exclusivo estudiantes UA; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Piso Gral Ibáñez,850,3,95,Centro,1ª,no,Curso estudiantes; amueblado,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Piso Centro,1300,4,90,Centro,4ª,sí,Estudiantes; 4 habitaciones; 2 baños,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Casa Los Girasoles,1300,3,100,Los Girasoles,,no,Adosado; suministros incluidos,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Piso Alcalde Felipe Mallol,900,3,83,Alcalde Felipe Mallol,3ª,no,Estudiantes; gastos incluidos,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Piso Centro,900,3,95,Centro,4ª,sí,Estudiantes; muy cerca UA,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Piso Ciudad Jardín,1250,3,120,Centro,4ª,sí,Estudiantes UA; moderno; 98 m² útiles,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,"Piso Calle Alicante, 66",930,3,100,Centro,6ª,sí,Escasos metros campus; preferiblemente estudiantes,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Piso Calle Portugal,1400,3,100,Centro,2ª,sí,Exclusivo estudiantes; <5 min UA,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p3,Piso Centro,1000,3,90,Centro,,no,Estudiantes; Lo Torrent; suministros,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Piso Alcalde Felipe Mallol,770,1,80,Alcalde Felipe Mallol,Bajo,sí,Garaje incluido; disponible septiembre 2026,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,"Piso Avenida l'Almàssera, 23",1100,3,90,Sol y Luz,3ª,sí,Piscina; juegos; garaje; amueblado,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Piso Centro,960,3,77,Centro,1ª,sí,Estudiantes; amueblado; cerca UA,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Piso Centro,1050,3,100,Centro,3ª,no,Estudiantes; avenida principal; suministros no incluidos,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Piso Alcalde Felipe Mallol,1250,5,200,Alcalde Felipe Mallol,,no,Estudiantes; 18 min andando UA,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Casa Partida Boqueres,750,1,30,Villamontes-Boqueres,,no,Temporada; jardín 90 m²,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Casa Camino de la Providencia,1250,2,75,Los Girasoles,,no,Chalet independiente; sin amueblar,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Piso Centro,1300,4,100,Centro,,no,Estudiantes; alquiler 11 meses,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,"Casa Calle Capitán Torregrosa, 8",1100,3,164,Centro,,no,Vivienda entera para 3 estudiantes; temporada/larga,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,"Piso Castellet, 6",900,3,106,Centro,4ª,sí,Solo estudiantes UA; 10 meses,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,"Casa Calle del Gantxo, 3",1600,3,100,Villamontes-Boqueres,,no,Piscina privada; 2 baños + aseo; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Piso Calle Pintor Picasso,1200,4,110,Centro,2ª,no,Solo estudiantes; terraza,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Piso Torre Quevedo,810,3,90,Centro,2ª,no,Solo estudiantes; anuncio antiguo 2024-25,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Piso Calle Jorge Juan,840,3,90,Centro,1ª,no,Estudiantes; temporada,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Piso Castellet,900,3,90,Centro,3ª,sí,Solo estudiantes; cerca Facultad Educación,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Piso Calle Elche,880,4,90,Centro,1ª,no,Estudiantes; baño y aseo,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Piso Centro,900,3,85,Centro,1ª,no,Estudiantes; cerca universidad; suministros no incluidos,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,"Dúplex Calle Aeroplano, 5",1350,3,170,Centro,Bajo,sí,Estudiantes; Villa Universitaria; piscina,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,"Piso Calle Hernán Cortés, 3",1050,3,117,Centro,3ª,sí,Estudiantes; 2 baños,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,"Dúplex Portugal, 2",1200,4,120,Alcalde Felipe Mallol,Entreplanta,sí,Solo julio/agosto; 4 habitaciones,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,"Piso Poeta García Lorca, 20",1000,3,95,Centro,1ª,no,Preferiblemente estudiantes; 10 min UA,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,"Piso Calle San Isidro, 10",960,3,95,Centro,3ª,no,Estudiantes; completo o por habitaciones,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,"Piso Calle Aviación, 13",1000,3,90,Centro,2ª,sí,Curso 26-27; 10 min UA,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
2026-08-24,Idealista,p4,Piso Centro,975,3,90,Centro,3ª,sí,Estudiantes; Plaza Santa Faz,https://www.idealista.com/alquiler-viviendas/san-vicente-del-raspeig-alicante/
