fecha_captura,fuente,municipio,direccion,habitaciones_vivienda,plazas,tipo_vivienda,regimen,precio_publicado_eur_mes,periodo_minimo_meses,fecha_oferta,observaciones
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Pintor Picasso, 51 3 Izq",5,5,P,A,390,10.0,8/12/2026,Piso recién reformado; 2 baños; habitaciones amplias; zona Ayuntamiento
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Doctor Fleming, 37",3,3,A,A,750,10.0,8/11/2026,Piso completo solo estudiantes UA; 2 baños
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"Avd. 3 de abril de 1979, 54",3,3,P,A,450,,8/11/2026,Tres habitaciones para estudiantes; urbanización con piscina; menos de 10 min UA
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Portugal, 1 2 32",4,1,P,A,850,10.0,8/10/2026,Dúplex frente a UA; 3 ocupantes buscan una cuarta persona; 2 baños
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Alicante, 39",4,1,P,A,200,,8/10/2026,Una plaza/habitación; 10 min UA; 200 m de parada de tram
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Pelayo, 11 5 K",4,4,P,A,1100,11.0,8/9/2026,A 12 min de UA; equipado para estudiantes/docentes; climatizado
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Riu Algar, 32",3,3,P,A,1100,10.0,8/7/2026,Junto al Parque Lo Torrent; estudiantes/profesores; terraza y piscina
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Bretón de los Herreros, 36",2,2,P,A,275,,8/7/2026,"Solo chicas; comunidad, agua, luz e internet incluidos"
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Santiago, 25 Bajo",3,1,C,A,340,10.0,8/7/2026,Planta baja reformada; habitaciones amplias; A/A; patio; 15 min andando UA
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ La Huerta, 132",3,3,P,A,900,,8/6/2026,Piso para estudiantes; 10 min universidad; A/A e internet
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ San Isidro, 40",4,4,P,A,1200,10.0,8/6/2026,Centro; 10 min universidad; A/A
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"Pasaje de Andorra, 2 1 4",3,1,P,A,850,10.0,8/5/2026,Piso a pie de Campus; edificio Telepizza
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Velázquez, 22-28",4,4,P,A,1300,10.0,8/5/2026,Solo estudiantes; amueblado; A/A; internet
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Argentina, 1 4",4,3,P,A,425,10.0,8/5/2026,Habitaciones a estrenar; mobiliario; ideal estudiantes
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Portugal, 2 4 48",3,3,P,A,930,10.0,8/5/2026,Piso dúplex frente a universidad; agua y luz incluidos
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Aeroplano, 4 2 D",4,2,P,A,1260,11.0,8/4/2026,Dúplex frente a universidad; 315€/habitación
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"Avenida de la Libertad, 5 1",3,1,P,CO,400,11.0,8/2/2026,Habitación para estudiantes junto universidad; amueblado y equipado
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"Calle Capitán Torregrosa, S/N",3,3,C,A,1100,10.0,8/2/2026,Casa independiente de 100 m² + 64 m² patio; centro
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"Calle Agost, 21",2,2,P,A,950,11.0,8/1/2026,Máximo 2 personas; profesorado y estudiantes de máster; climatizado
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C/ Balmes, 17",3,2,P,A,240,,8/1/2026,"Piso de estudiantes; 1,4 km / 16 min andando hasta primera facultad UA"
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"Calle Portugal, 2",4,4,P,A,1200,,7/30/2026,Alquiler exclusivamente agosto; posibilidad de individual
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C. Francia, 1",4,1,P,A,250,12.0,7/30/2026,Una habitación; dúplex de 4 dormitorios; cerca universidad
2026-08-24,UA,SAN VICENTE DEL RASPEIG,"C. Jijona, 10 2 Iz",3,3,P,A,825,10.0,7/30/2026,Internet y comunidad; oferta para estudiantes
