fecha_captura,fuente,titulo_o_referencia,zona,precio_publicado_eur_mes,habitaciones,superficie_m2,planta,banos,tipo_alquiler,descripcion_resumida,ascensor
2026-08-24,Fotocasa,190?RIUALGAR,Parque Lo Torrent,1150,2,75.0,,2.0,Larga duración,Piscina; garaje; terraza; amueblado,Sí
2026-08-24,Fotocasa,190?PINTORSOROLLA,Norte,900,3,75.0,0.0,1.0,Temporada,Exclusivamente estudiantes 2026/27; WiFi incluido,No
2026-08-24,Fotocasa,190?ESTUDIO1,Centro,1275,1,,,1.0,Temporada,Estudios para estudiantes/personal UA,Sí
2026-08-24,Fotocasa,190?GENERALIBANEZ2,Centro,1050,3,,,,Temporada,Solo estudiantes; reformado,No
2026-08-24,Fotocasa,190?TIBI2,Centro,900,4,95.0,1.0,2.0,Temporada,Solo chicas estudiantes,No
2026-08-24,Fotocasa,190?ALCORAYA2,Norte,1000,4,90.0,2.0,2.0,Temporada,Exclusivo estudiantes,No
2026-08-24,Fotocasa,190?PARTICULARES,Centro,1050,3,,,,Temporada,Solo estudiantes; recién reformado,No
2026-08-24,Fotocasa,190?ESTUDIO2,Centro,1275,1,,,,Temporada,Estudio completo; equipamiento premium,Sí
2026-08-24,Fotocasa,"Calle Tibi, 3",Centro,900,4,95.0,1.0,2.0,Temporada,Solo chicas estudiantes,No
2026-08-24,Fotocasa,Centro,Centro,950,2,56.0,,1.0,Larga duración,Amueblado; terraza,No
2026-08-24,Fotocasa,Parque Lo Torrent,Parque Lo Torrent,1150,2,75.0,,2.0,Larga duración,Piscina; garaje; terraza; amueblado,Sí
2026-08-24,Fotocasa,"Calle General Ibáñez, 31",Centro,1050,3,92.0,,1.0,Temporada,Solo estudiantes; reformado,No
2026-08-24,Fotocasa,"Calle Tibi, 3",Centro,900,4,95.0,1.0,2.0,Temporada,Solo chicas estudiantes; 15 min UA,No
2026-08-24,Fotocasa,Piso con terraza en Centro,Centro,900,3,100.0,1.0,1.0,Temporada,Reformado; próximo bus/TRAM; biblioteca,No
2026-08-24,Fotocasa,"Calle Tibi, 3",Centro,900,4,95.0,1.0,2.0,Temporada,3 habitaciones disponibles; estudiante,No
2026-08-24,Fotocasa,"Calle General Ibáñez, 31",Centro,1050,3,92.0,,1.0,Temporada,Estudiantes; reformado,No
2026-08-24,Fotocasa,Piso en Norte,Norte,1000,4,90.0,2.0,2.0,Temporada,Exclusivamente estudiantes; balcón; A/A,No
2026-08-24,Fotocasa,"Calle Tibi, 3",Centro,900,4,95.0,1.0,2.0,Temporada,Solo chicas estudiantes,No
2026-08-24,Fotocasa,Centro,Centro,1200,4,127.0,,2.0,Temporada,Solo estudiantes UA; 10 min UA,Sí
2026-08-24,Fotocasa,Centro,Centro,1050,3,92.0,,1.0,Temporada,Solo estudiantes; reformado,Sí
2026-08-24,Fotocasa,Norte,Norte,800,4,109.0,3.0,2.0,Temporada,Solo estudiantes; reformado,No
2026-08-24,Fotocasa,Centro,Centro,900,3,100.0,1.0,1.0,Temporada,Alquiler temporal; transporte UA,No
2026-08-24,Fotocasa,Centro,Centro,1000,4,95.0,1.0,2.0,Larga duración,Vivienda completa; sin indicación de estudiantes,No
2026-08-24,Fotocasa,Centro,Centro,1100,3,90.0,1.0,2.0,Larga duración,Vivienda completa; sin indicación de estudiantes,Sí
2026-08-24,Fotocasa,Norte,Norte,950,3,100.0,2.0,1.0,Larga duración,Vivienda completa; sin indicación de estudiantes,No
2026-08-24,Fotocasa,Parque Lo Torrent,Parque Lo Torrent,1100,3,100.0,3.0,2.0,Larga duración,Vivienda completa; sin indicación de estudiantes,Sí
