fuente;fecha_captura;id_anuncio;precio_mes;habitaciones;m2;zona;planta;ascensor;banos;garaje;tipo_alquiler;texto_original
idealista;2026-08-24;;1900.0;5.0;100.0;Centro;2ª;True;;False;anual/no_especificado;"Piso Avenida de la Llibertat, 13 | 1900 | Reformado; estudiantes; junto UA"
idealista;2026-08-24;;1200.0;4.0;130.0;Centro;1ª;False;;False;anual/no_especificado;"Piso Calle Gabriel Miró, 34 | 1200 | Por habitaciones; estudiantes; 5 min UA"
idealista;2026-08-24;;990.0;3.0;90.0;Centro;2ª;False;;False;anual/no_especificado;"Piso en Calle San Juan, 27 | 990 | Solo estudiantes; sep-2026 a jul-2027"
fotocasa;2026-08-24;;950.0;3.0;100.0;Norte;2.0;False;1.0;False;anual/no_especificado;"Norte | 950 | Vivienda completa; sin indicación de estudiantes"
fotocasa;2026-08-24;;900.0;2.0;80.0;Norte;1.0;False;1.0;False;temporada;"190?MANUELDOMINGUEZ | 900 | Reformado; amueblado; sin ascensor"
fotocasa;2026-08-24;;1150.0;2.0;75.0;Parque Lo Torrent;;True;2.0;True;anual/no_especificado;"190?RIUALGAR | 1150 | Piscina; garaje; terraza; amueblado"
fotocasa;2026-08-24;;900.0;3.0;75.0;Norte;0.0;False;1.0;False;temporada;"190?PINTORSOROLLA | 900 | Exclusivamente estudiantes 2026/27; WiFi incluido"
fotocasa;2026-08-24;;1275.0;1.0;;Centro;;True;1.0;False;temporada;190?ESTUDIO1 | 1275 | Estudios para estudiantes/personal UA
fotocasa;2026-08-24;;1050.0;3.0;;Centro;;False;;False;temporada;"190?GENERALIBANEZ2 | 1050 | Solo estudiantes; reformado"
fotocasa;2026-08-24;;900.0;4.0;95.0;Centro;1.0;False;2.0;False;temporada;190?TIBI2 | 900 | Solo chicas estudiantes
fotocasa;2026-08-24;;1000.0;4.0;90.0;Norte;2.0;False;2.0;False;temporada;190?ALCORAYA2 | 1000 | Exclusivo estudiantes
fotocasa;2026-08-24;;1050.0;3.0;;Centro;;False;;False;temporada;"190?PARTICULARES | 1050 | Solo estudiantes; recién reformado"
fotocasa;2026-08-24;;1275.0;1.0;;Centro;;True;;False;temporada;"190?ESTUDIO2 | 1275 | Estudio completo; equipamiento premium"
fotocasa;2026-08-24;;950.0;2.0;56.0;Centro;;False;1.0;False;anual/no_especificado;"Centro | 950 | Amueblado; terraza"
fotocasa;2026-08-24;;1050.0;3.0;92.0;Centro;;False;1.0;False;temporada;"Calle General Ibáñez, 31 | 1050 | Solo estudiantes; reformado"
fotocasa;2026-08-24;;1200.0;4.0;127.0;Centro;;True;2.0;False;temporada;"Centro | 1200 | Solo estudiantes UA; 10 min UA"
fotocasa;2026-08-24;;800.0;4.0;109.0;Norte;3.0;False;2.0;False;temporada;"Norte | 800 | Solo estudiantes; reformado"
fotocasa;2026-08-24;;825.0;3.0;110.0;Centro;0.0;False;1.0;False;temporada;190?HUERTA | 825 | Solo estudiantes 2026/27
fotocasa;2026-08-24;;1150.0;3.0;100.0;Centro;2.0;True;2.0;False;anual/no_especificado;"190?CURAFRANCISCO | 1150 | Amueblado; ascensor; balcón; A/A; calefacción"
idealista;2026-08-24;;1050.0;3.0;117.0;Centro;3ª;True;;False;anual/no_especificado;"Piso Calle Hernán Cortés, 3 | 1050 | Estudiantes; 2 baños"
idealista;2026-08-24;;975.0;3.0;90.0;Centro;3ª;True;;False;anual/no_especificado;"Piso Centro | 975 | Estudiantes; Plaza Santa Faz"
fotocasa;2026-08-24;;250.0;4.0;90.0;Centro;1.0;False;2.0;False;anual/no_especificado;190466156 | 250 | Habitaciones solo estudiantes
fotocasa;2026-08-24;;900.0;3.0;900.0;Centro;;False;2.0;False;anual/no_especificado;"190009165 | 900 | Solo estudiantes; junto Universidad"
fotocasa;2026-08-24;;340.0;4.0;110.0;Centro;5.0;True;2.0;False;anual/no_especificado;"190131831 | 340 | Solo estudiantes; 20 min UA; internet"
fotocasa;2026-08-24;;810.0;3.0;120.0;Centro;1.0;False;2.0;False;anual/no_especificado;190426057 | 810 | Se alquilan habitaciones a 270 €/mes
fotocasa;2026-08-24;;1200.0;3.0;220.0;Centro;;True;2.0;True;anual/no_especificado;"190501594 | 1200 | Ático; 220 m²; piscina; garaje"
fotocasa;2026-08-24;;1100.0;3.0;100.0;Parque Lo Torrent;3.0;True;2.0;False;anual/no_especificado;"Parque Lo Torrent | 1100 | Vivienda completa; sin indicación de estudiantes"
idealista;2026-08-24;;1230.0;3.0;120.0;Centro;1ª;True;;False;temporada;"Piso en Centro | 1230 | Junto a Universidad; zona verde/peatonal; alquiler de temporada"
idealista;2026-08-24;;1260.0;4.0;125.0;Centro;4ª;True;;False;anual/no_especificado;"Piso en Calle Alicante | 1260 | 200 m de la UA; equipado para estudiantes"
idealista;2026-08-24;;1300.0;4.0;134.0;Centro;4ª;True;;False;temporada;"Piso en Dr Trueta | 1300 | Exclusivo estudiantes UA; temporada"
idealista;2026-08-24;;950.0;2.0;80.0;Centro;3ª;False;;False;anual/no_especificado;"Piso en Centro | 950 | Lo Torrent; suministros no incluidos"
idealista;2026-08-24;;1200.0;4.0;85.0;Centro;1ª;False;;False;anual/no_especificado;"Piso en Calle San Juan | 1200 | Alquiler temporal; disponible octubre"
idealista;2026-08-24;;960.0;3.0;117.0;Alcalde Felipe Mallol;3ª;False;;False;temporada;"Piso en Calle Las Navas, 12 | 960 | Reformado; 90 m² útiles; temporada"
idealista;2026-08-24;;795.0;2.0;68.0;Haygon - Universidad;1ª;False;;False;temporada;"Piso en Colonia Santa Isabel | 795 | Temporada 11 meses; reformado"
idealista;2026-08-24;;1000.0;4.0;100.0;Centro;3ª;True;;False;anual/no_especificado;"Piso en Echegaray | 1000 | Estudiantes; terraza; 1 baño + aseo"
idealista;2026-08-24;;1100.0;4.0;120.0;Centro;2ª;True;;False;temporada;"Piso en Calle Alicante, 56 | 1100 | Estudiantes; 5 min andando UA; temporada"
idealista;2026-08-24;;950.0;3.0;90.0;Centro;2ª;False;;False;anual/no_especificado;"Piso en Calle Cura Francisco Maestre, 4 | 950 | Estudiantes; 9 min UA; gastos no incluidos"
idealista;2026-08-24;;950.0;3.0;115.0;Haygon - Universidad;4ª;True;;False;anual/no_especificado;"Piso en Colonia Santa Isabel, 52 | 950 | Solo estudiantes; 5 min UA; sep-jun"
idealista;2026-08-24;;1475.0;5.0;132.0;Centro;1ª;False;;False;anual/no_especificado;"Piso en Centro | 1475 | Estudiantes; cinco habitaciones"
idealista;2026-08-24;;930.0;4.0;382.0;Centro;1ª;False;;False;temporada;"Piso en Bailen | 930 | Temporada estudiantes; 5 min UA; 250 €/habitación"
idealista;2026-08-24;;2100.0;6.0;200.0;Centro;;False;;True;anual/no_especificado;"Casa independiente Calle Major | 2100 | Septiembre-junio; solo estudiantes; garaje"
idealista;2026-08-24;;1500.0;4.0;135.0;Centro;4ª;True;;False;temporada;"Piso en Sevilla | 1500 | Temporada; piscina en azotea"
idealista;2026-08-24;;850.0;3.0;89.0;Alcalde Felipe Mallol;3ª;True;;False;anual/no_especificado;"Piso en Alcalde Felipe Mallol | 850 | Estudiantes; zona Canastell"
fotocasa;2026-08-26;;350.0;4.0;142.0;Centro;;;;False;temporada;350 | Centro | Balcon (chalet)
fotocasa;2026-08-26;;1400.0;4.0;100.0;Centro;;;;False;anual/no_especificado;1400 | Centro | adosada
fotocasa;2026-08-26;;400.0;4.0;14.0;Villamontes-Boqueres;;;;False;anual/no_especificado;400 | Villamontes-Boqueres | Terraza
idealista;2026-08-26;;1150.0;4.0;100.0;;6ª planta;True;;False;temporada;1.150€/mes | 4 hab.|100 m²|6ª planta exterior con ascensor
fotocasa;2026-08-26;;1200.0;4.0;126.0;Centro;;;;False;anual/no_especificado;1200 | Centro | 3a Planta
fotocasa;2026-08-26;;850.0;3.0;80.0;Norte;;;;False;temporada;850 | Norte | 3a Planta
fotocasa;2026-08-26;;770.0;4.0;99.0;Norte;;;;False;temporada;770 | Norte | Bajos
fotocasa;2026-08-26;;1100.0;4.0;100.0;Centro;;;;False;anual/no_especificado;1100 | Centro | 1a Planta
fotocasa;2026-08-26;;1750.0;5.0;120.0;Norte;;;;False;anual/no_especificado;1750 | Norte | 3a Planta
fotocasa;2026-08-26;;1450.0;5.0;90.0;Centro;;;;False;anual/no_especificado;1450 | Centro | 2a Planta
idealista;2026-08-26;;1200.0;6.0;200.0;;;;;True;temporada;1.200€/mes | Garaje incluido|6 hab.|200 m²
idealista;2026-08-26;;800.0;3.0;90.0;;;False;;False;temporada;800€/mes | 3 hab.|90 m²|Bajo interior sin ascensor
idealista;2026-08-26;;925.0;3.0;91.0;;1ª planta;True;;True;anual/no_especificado;925€/mes | Garaje incluido|3 hab.|91 m²|1ª planta exterior con ascensor
idealista;2026-08-26;;1200.0;4.0;111.0;;3ª planta;True;;False;anual/no_especificado;1.200€/mes | 4 hab.|111 m²|3ª planta exterior con ascensor
idealista;2026-08-26;;1200.0;4.0;140.0;;4ª planta;False;;False;anual/no_especificado;1.200€/mes | 4 hab.|140 m²|4ª planta exterior sin ascensor
idealista;2026-08-26;;1080.0;3.0;86.0;;4ª planta;True;;True;anual/no_especificado;1.080€/mes | Garaje incluido|3 hab.|86 m²|4ª planta exterior con ascensor
idealista;2026-08-26;;1200.0;2.0;80.0;;5ª planta;True;;False;anual/no_especificado;1.200€/mes | 2 hab.|80 m²|5ª planta exterior con ascensor
idealista;2026-08-26;;1300.0;4.0;113.0;;;True;;False;temporada;1.300€/mes | 4 hab.|113 m²|Bajo exterior con ascensor
idealista;2026-08-26;;880.0;3.0;100.0;;1ª planta;True;;False;temporada;880€/mes | 3 hab.|100 m²|1ª planta exterior con ascensor
idealista;2026-08-26;;1400.0;5.0;160.0;;1ª planta;False;;False;temporada;1.400€/mes | 5 hab.|160 m²|1ª planta exterior sin ascensor
idealista;2026-08-26;;850.0;3.0;90.0;;;True;;False;anual/no_especificado;850€/mes | 3 hab.|90 m²|exterior con ascensor
idealista;2026-08-26;;1200.0;3.0;100.0;;2ª planta;True;;False;anual/no_especificado;1.200€/mes | 3 hab.|100 m²|2ª planta exterior con ascensor
idealista;2026-08-26;;1250.0;4.0;120.0;;;True;;False;anual/no_especificado;1.250€/mes | 4 hab.|120 m²|exterior con ascensor
idealista;2026-08-26;;1400.0;5.0;140.0;;2ª planta;False;;False;temporada;1.400€/mes | 5 hab.|140 m²|2ª planta exterior sin ascensor
idealista;2026-08-26;;1200.0;4.0;90.0;;3ª planta;True;;False;anual/no_especificado;1.200€/mes | 4 hab.|90 m²|3ª planta exterior con ascensor
idealista;2026-09-10;111950477;900.0;4.0;100.0;Centro;3ª planta;True;;False;temporada;Anuncio 111950477 (Centro) | 900 | Alquiler de temporada
idealista;2026-09-10;98416215;1000.0;4.0;110.0;Centro;6ª planta;True;;False;temporada;Anuncio 98416215 (Centro) | 1000 | Alquiler de temporada
idealista;2026-09-10;108615751;900.0;4.0;140.0;;4ª planta;False;;False;anual/no_especificado;Anuncio 108615751 | 900 | nan
idealista;2026-09-10;112491229;1200.0;4.0;116.0;;;;;False;temporada;Anuncio 112491229 | 1200 | Alquiler de temporada
idealista;2026-09-10;108392486;980.0;4.0;111.0;Alcalde Felipe Mallol;3ª planta;False;;False;temporada;Anuncio 108392486 (Alcalde Felipe Mallol) | 980 | Alquiler de temporada
idealista;2026-09-10;112435993;900.0;3.0;90.0;Centro;1ª planta;True;;False;anual/no_especificado;Anuncio 112435993 (Centro) | 900 | nan
idealista;2026-09-10;112472408;3200.0;5.0;250.0;Los Girasoles;;;;False;temporada;Anuncio 112472408 (Los Girasoles) | 3200 | Alquiler de temporada
idealista;2026-09-10;111974442;700.0;;45.0;Alcalde Felipe Mallol;1ª planta;False;;False;temporada;Anuncio 111974442 (Alcalde Felipe Mallol) | 700 | Alquiler de temporada
idealista;2026-09-10;112091993;1100.0;4.0;110.0;Centro;3ª planta;False;;False;temporada;Anuncio 112091993 (Centro) | 1100 | Alquiler de temporada
idealista;2026-09-10;112474042;1150.0;6.0;200.0;Centro;;;;False;temporada;Anuncio 112474042 (Centro) | 1150 | Alquiler de temporada
idealista;2026-09-10;111697774;900.0;3.0;130.0;Centro;1ª planta;False;;False;temporada;Anuncio 111697774 (Centro) | 900 | Alquiler de temporada
idealista;2026-09-10;112365401;1000.0;4.0;110.0;Centro;1ª planta;False;;False;temporada;Anuncio 112365401 (Centro) | 1000 | Alquiler de temporada
idealista;2026-09-10;112460345;1100.0;4.0;145.0;Alcalde Felipe Mallol;3ª planta;True;;False;anual/no_especificado;Anuncio 112460345 (Alcalde Felipe Mallol) | 1100 | nan
idealista;2026-09-10;112288930;990.0;3.0;92.0;Centro;3ª planta;False;;False;temporada;Anuncio 112288930 (Centro) | 990 | Alquiler de temporada
idealista;2026-09-10;112491266;1100.0;4.0;116.0;;;;;False;anual/no_especificado;Anuncio 112491266 | 1100 | nan
idealista;2026-09-10;104856742;1050.0;3.0;95.0;Centro;3ª planta;False;;False;temporada;Anuncio 104856742 (Centro) | 1050 | Alquiler de temporada
idealista;2026-09-10;112492572;850.0;3.0;83.0;;1ª planta;False;;False;temporada;Anuncio 112492572 | 850 | Alquiler de temporada
idealista;2026-09-10;112363779;1000.0;3.0;75.0;Centro;1ª planta;False;;False;anual/no_especificado;Anuncio 112363779 (Centro) | 1000 | nan
idealista;2026-09-10;112508781;990.0;3.0;104.0;Centro;4ª planta;True;;False;temporada;Anuncio 112508781 (Centro) | 990 | Alquiler de temporada
idealista;2026-09-10;105831233;1000.0;4.0;120.0;Centro;2ª planta;True;;False;temporada;Anuncio 105831233 (Centro) | 1000 | Alquiler de temporada
idealista;2026-09-10;112079183;900.0;3.0;117.0;Alcalde Felipe Mallol;3ª planta;False;;False;temporada;Anuncio 112079183 (Alcalde Felipe Mallol) | 900 | Alquiler de temporada
idealista;2026-09-10;112404446;1290.0;3.0;90.0;Sol y Luz;5ª planta;True;;False;anual/no_especificado;Anuncio 112404446 (Sol y Luz) | 1290 | nan
idealista;2026-09-10;112258283;1100.0;2.0;80.0;;5ª planta;True;;False;anual/no_especificado;Anuncio 112258283 | 1100 | nan
idealista;2026-09-10;111631072;1300.0;4.0;124.0;Los Girasoles;1ª planta;True;;False;anual/no_especificado;Anuncio 111631072 (Los Girasoles) | 1300 | nan
idealista;2026-09-10;111984769;900.0;3.0;100.0;Centro;4ª planta;True;;False;anual/no_especificado;Anuncio 111984769 (Centro) | 900 | nan
idealista;2026-09-10;112082386;800.0;2.0;75.0;Centro;1ª planta;True;;False;temporada;Anuncio 112082386 (Centro) | 800 | Alquiler de temporada
idealista;2026-09-10;112393388;960.0;3.0;100.0;Alcalde Felipe Mallol;2ª planta;True;;False;temporada;Anuncio 112393388 (Alcalde Felipe Mallol) | 960 | Alquiler de temporada
idealista;2026-09-10;112086553;630.0;;42.0;Centro;1ª planta;True;;False;temporada;Anuncio 112086553 (Centro) | 630 | Alquiler de temporada
idealista;2026-09-10;112337892;1100.0;4.0;152.0;Centro;1ª planta;True;;False;temporada;Anuncio 112337892 (Centro) | 1100 | Alquiler de temporada
idealista;2026-09-10;112446974;1100.0;3.0;120.0;Centro;2ª planta;True;;False;anual/no_especificado;Anuncio 112446974 (Centro) | 1100 | nan
idealista;2026-09-10;112258110;1400.0;5.0;120.0;Centro;2ª planta;False;;False;temporada;Anuncio 112258110 (Centro) | 1400 | Alquiler de temporada
idealista;2026-09-10;111764464;1050.0;3.0;112.0;;;;;False;temporada;Anuncio 111764464 | 1050 | Alquiler de temporada
idealista;2026-09-10;111587247;1350.0;3.0;160.0;Centro;;;;False;anual/no_especificado;Anuncio 111587247 (Centro) | 1350 | nan
idealista;2026-09-10;105191370;1500.0;4.0;110.0;Centro;Entreplanta;True;;False;temporada;Anuncio 105191370 (Centro) | 1500 | Alquiler de temporada
idealista;2026-09-10;112251416;2400.0;4.0;500.0;Villamontes-Boqueres;;;;False;anual/no_especificado;Anuncio 112251416 (Villamontes-Boqueres) | 2400 | nan
idealista;2026-09-10;111961649;825.0;3.0;100.0;Centro;6ª planta;True;;False;temporada;Anuncio 111961649 (Centro) | 825 | Alquiler de temporada
idealista;2026-09-10;112279039;900.0;3.0;90.0;;;;;False;anual/no_especificado;Anuncio 112279039 | 900 | nan
idealista;2026-09-10;112367343;860.0;4.0;137.0;Centro;1ª planta;True;;False;temporada;Anuncio 112367343 (Centro) | 860 | Alquiler de temporada
idealista;2026-09-10;112076150;630.0;;42.0;Centro;1ª planta;True;;False;temporada;Anuncio 112076150 (Centro) | 630 | Alquiler de temporada
idealista;2026-09-10;107741698;1000.0;4.0;120.0;Los Girasoles;3ª planta;True;;False;temporada;Anuncio 107741698 (Los Girasoles) | 1000 | Alquiler de temporada
idealista;2026-09-10;112382302;1200.0;4.0;100.0;Centro;Bajo;True;;False;temporada;Anuncio 112382302 (Centro) | 1200 | Alquiler de temporada
idealista;2026-09-10;111306537;1520.0;1.0;98.0;Centro;Bajo;False;;False;temporada;Anuncio 111306537 (Centro) | 1520 | Alquiler de temporada
idealista;2026-09-10;112395024;800.0;3.0;65.0;Haygon - Universidad;1ª planta;False;;False;temporada;Anuncio 112395024 (Haygon - Universidad) | 800 | Alquiler de temporada
idealista;2026-09-10;112238150;990.0;3.0;95.0;Centro;4ª planta;True;;False;temporada;Anuncio 112238150 (Centro) | 990 | Alquiler de temporada
idealista;2026-09-10;108899268;900.0;3.0;90.0;Alcalde Felipe Mallol;3ª planta;True;;False;temporada;Anuncio 108899268 (Alcalde Felipe Mallol) | 900 | Alquiler de temporada
idealista;2026-09-10;112156668;1000.0;3.0;95.0;Centro;1ª planta;True;;False;temporada;Anuncio 112156668 (Centro) | 1000 | Alquiler de temporada
idealista;2026-09-10;112054915;1750.0;5.0;100.0;Centro;2ª planta;True;;False;temporada;Anuncio 112054915 (Centro) | 1750 | Alquiler de temporada
idealista;2026-09-10;94925525;890.0;4.0;90.0;Centro;1ª planta;True;;False;temporada;Anuncio 94925525 (Centro) | 890 | Alquiler de temporada
idealista;2026-09-10;105885500;920.0;3.0;100.0;Centro;4ª planta;False;;False;temporada;Anuncio 105885500 (Centro) | 920 | Alquiler de temporada
idealista;2026-09-10;112075109;900.0;3.0;90.0;;3ª planta;False;;False;temporada;Anuncio 112075109 | 900 | Alquiler de temporada
idealista;2026-09-10;112382424;1150.0;3.0;80.0;;;;;False;temporada;Anuncio 112382424 | 1150 | Alquiler de temporada
idealista;2026-09-10;98359478;900.0;3.0;90.0;Centro;2ª planta;False;;False;temporada;Anuncio 98359478 (Centro) | 900 | Alquiler de temporada
idealista;2026-09-10;102020896;1500.0;5.0;100.0;Centro;3ª planta;False;;False;temporada;Anuncio 102020896 (Centro) | 1500 | Alquiler de temporada
idealista;2026-09-10;112275746;1100.0;4.0;111.0;;3ª planta;True;;False;anual/no_especificado;Anuncio 112275746 | 1100 | nan
idealista;2026-09-10;98218271;840.0;3.0;95.0;Centro;3ª planta;True;;False;temporada;Anuncio 98218271 (Centro) | 840 | Alquiler de temporada
idealista;2026-09-10;112360915;1100.0;4.0;112.0;Centro;3ª planta;False;;False;temporada;Anuncio 112360915 (Centro) | 1100 | Alquiler de temporada
idealista;2026-09-10;108948979;1300.0;3.0;100.0;;;;;False;anual/no_especificado;Anuncio 108948979 | 1300 | nan
idealista;2026-09-10;112339175;800.0;3.0;115.0;Centro;1ª planta;True;;False;temporada;Anuncio 112339175 (Centro) | 800 | Alquiler de temporada
idealista;2026-09-10;112456969;1600.0;4.0;140.0;Villamontes-Boqueres;;;;False;temporada;Anuncio 112456969 (Villamontes-Boqueres) | 1600 | Alquiler de temporada
idealista;2026-09-10;112473894;1000.0;3.0;80.0;Centro;4ª planta;True;;False;temporada;Anuncio 112473894 (Centro) | 1000 | Alquiler de temporada
idealista;2026-09-10;112310566;1050.0;4.0;126.0;;3ª planta;True;;False;anual/no_especificado;Anuncio 112310566 | 1050 | nan
idealista;2026-09-10;112335464;850.0;3.0;82.0;Centro;3ª planta;False;;False;temporada;Anuncio 112335464 (Centro) | 850 | Alquiler de temporada
idealista;2026-09-10;112057741;1100.0;2.0;120.0;;1ª planta;True;;False;temporada;Anuncio 112057741 | 1100 | Alquiler de temporada
idealista;2026-09-10;112269756;1300.0;4.0;120.0;Centro;1ª planta;True;;False;anual/no_especificado;Anuncio 112269756 (Centro) | 1300 | nan
idealista;2026-09-10;112235045;1000.0;4.0;97.0;Alcalde Felipe Mallol;2ª planta;False;;False;temporada;Anuncio 112235045 (Alcalde Felipe Mallol) | 1000 | Alquiler de temporada
idealista;2026-09-10;112112345;850.0;3.0;95.0;Centro;3ª planta;True;;False;temporada;Anuncio 112112345 (Centro) | 850 | Alquiler de temporada
idealista;2026-09-10;103098615;870.0;2.0;85.0;;1ª planta;True;;False;temporada;Anuncio 103098615 | 870 | Alquiler de temporada
idealista;2026-09-10;112146951;850.0;3.0;95.0;Centro;1ª planta;False;;False;anual/no_especificado;Anuncio 112146951 (Centro) | 850 | nan
idealista;2026-09-10;105549393;1000.0;3.0;90.0;Centro;2ª planta;True;;False;temporada;Anuncio 105549393 (Centro) | 1000 | Alquiler de temporada
idealista;2026-09-10;108808460;960.0;3.0;95.0;Centro;3ª planta;False;;False;temporada;Anuncio 108808460 (Centro) | 960 | Alquiler de temporada
idealista;2026-09-10;108495799;1350.0;3.0;170.0;Centro;Bajo;True;;False;anual/no_especificado;Anuncio 108495799 (Centro) | 1350 | nan
idealista;2026-09-10;100645240;880.0;4.0;90.0;Centro;1ª planta;False;;False;temporada;Anuncio 100645240 (Centro) | 880 | Alquiler de temporada
idealista;2026-09-10;81717288;810.0;3.0;90.0;Centro;3ª planta;True;;False;temporada;Anuncio 81717288 (Centro) | 810 | Alquiler de temporada
idealista;2026-09-10;86641820;810.0;3.0;90.0;Centro;1ª planta;False;;False;temporada;Anuncio 86641820 (Centro) | 810 | Alquiler de temporada
idealista;2026-09-10;111688370;800.0;3.0;85.0;Centro;Bajo;False;;False;temporada;Anuncio 111688370 (Centro) | 800 | Alquiler de temporada
idealista;2026-09-10;94575384;1100.0;3.0;90.0;Sol y Luz;3ª planta;True;;False;anual/no_especificado;Anuncio 94575384 (Sol y Luz) | 1100 | nan
idealista;2026-09-10;105997520;1200.0;3.0;129.0;Centro;4ª planta;True;;False;temporada;Anuncio 105997520 (Centro) | 1200 | Alquiler de temporada
idealista;2026-09-10;111879521;1300.0;4.0;100.0;;;;;False;anual/no_especificado;Anuncio 111879521 | 1300 | nan
idealista;2026-09-10;110841602;750.0;1.0;30.0;Villamontes-Boqueres;;;;False;temporada;Anuncio 110841602 (Villamontes-Boqueres) | 750 | Alquiler de temporada
idealista;2026-09-10;112414666;925.0;2.0;80.0;Centro;Bajo;True;;False;temporada;Anuncio 112414666 (Centro) | 925 | Alquiler de temporada
idealista;2026-09-10;98115702;1250.0;5.0;200.0;;;;;False;anual/no_especificado;Anuncio 98115702 | 1250 | nan
