habitaciones;plazas;tipo_vivienda;regimen;direccion;precio_declarado;precio_num;tipo_oferta;tipo_oferta_simplificado;periodo_minimo_meses;fecha_oferta;servicios_incluidos;observaciones;es_duplicado
4;1;P;A;C/ Portugal, 1 2 32;850€;850.0;habitacion (regimen A pero texto indica precio por habitacion);habitacion;10.0;2026-08-10;Ascensor|Comunidad;Duplex justo delante de la Universidad de Alicante, somos estudiantes/trabajadores (dos chicas y un chico), buscamos una persona mas. Tiene dos baños.;False
4;1;P;A;C/ Alicante, 39;200€;200.0;habitacion (regimen A pero texto indica precio por habitacion);habitacion;;2026-08-10;Comunidad;Somos 3 chicas que buscamos una cuarta compañera de piso. El piso está a 200 metros de la parada del tram y a 10 minutos de la universidad.;False
3;3;P;A;C/ Riu Algar, 32;1100€;1100.0;piso_completo;piso_completo;10.0;2026-08-07;Certificado energético|Internet|Ascensor|Comunidad;Piso completo junto al Parque Lo Torrent a estudiantes/profesores. Amueblado, con amplia terraza y piscina. Gastos de suministros no incluidos.;False
2;2;P;A;C/ Bretón de los Herreros, 36;275€;275.0;habitacion (regimen A pero precio bajo sugiere por habitacion);habitacion;;2026-08-07;Certificado energético|Internet|Ascensor|Comunidad|Agua|Luz;Solo chicas;False
3;1;C;A;C/ Santiago, 25 Bajo;340€;340.0;habitacion (regimen A pero precio bajo sugiere por habitacion);habitacion;10.0;2026-08-07;Certificado energético|Internet|Luz|Gas;Planta baja reformada recientemente, céntrica, bien comunicada, mobiliario nuevo. Habitaciones muy amplias, luminosas, a/a, patio. A 15 minutos andando.;False
3;3;P;A;C/ La Huerta, 132;900€;900.0;piso_completo;piso_completo;;2026-08-06;Internet|Comunidad;Piso para estudiantes, completamente equipado, habitaciones amplias y luminosas, a 10 min. universidad, aire acondicionado, internet gratis.;False
4;4;P;A;C/ San Isidro, 40;1200€;1200.0;piso_completo;piso_completo;10.0;2026-08-06;Comunidad|Otros;Piso en el centro, a solo 10 minutos de la universidad. Luminoso, rodeado de zonas ajardinadas, con aire acondicionado y todos los servicios a mano.;False
3;1;P;A;Pasaje de Andorra, 2 1 4;850€;850.0;piso_completo;piso_completo;10.0;2026-08-05;Certificado energético|Internet|Ascensor|Comunidad;Piso pie de Campus, edificio Telepizza;False
4;4;P;A;C/ Velázquez, 22-28;1300€;1300.0;piso_completo;piso_completo;10.0;2026-08-05;Internet|Ascensor|Comunidad;Piso en muy buen estado, SOLO ESTUDIANTES, completamente amueblado, muy tranquilo y luminoso, con aire acondicionado, internet gratis.;False
4;3;P;A;C/ Argentina, 1 4;425€;425.0;habitacion (regimen A pero precio bajo sugiere por habitacion);habitacion;10.0;2026-08-05;Certificado energético|Internet|Ascensor|Comunidad;Habitaciones a estrenar con cama mínimo 105x190, escritorio, silla, armario, espejo. Ideal para estudiantes. Cocina y lavadero zona común.;False
3;3;P;A;C/ Portugal, 2 4 48;930€;930.0;piso_completo;piso_completo;10.0;2026-08-05;Internet|Ascensor|Agua|Luz;PISO DUPLEX FRENTE UNIVERSIDAD;False
4;2;P;A;C/ Aeroplano, 4 2 D;1260€;315.0;habitacion (regimen A pero texto indica precio por habitacion);habitacion;11.0;2026-08-04;Certificado energético|Ascensor|Comunidad;Duplex en frente de la universidad, 4 habitaciones. Piso compartido 315€/habitación. Cerca de todos los servicios y muy bien ubicado.;False
3;1;P;CO;Avenida de la Libertad, 5 1;400€;400.0;habitacion;habitacion;11.0;2026-08-02;Certificado energético|Internet|Comunidad;Alquiler habitación para estudiantes junto universidad. El piso está totalmente amueblado y equipado.;False
3;3;C;A;Calle Capitán Torregrosa, S/N;1100€;1100.0;piso_completo;piso_completo;10.0;2026-08-02;Certificado energético;Casa independiente de 100m2 con 64m2 de patio. Cocina y baño reformados. En el centro de San Vicente del Raspeig.;False
2;2;P;A;Calle Agost, 21;950€;950.0;piso_completo;piso_completo;11.0;2026-08-01;Certificado energético|Internet|Ascensor|Comunidad;Totalmente nuevo, disponible dos personas máximo (también profesorado y estudiantes de másteres). Climatizado. Todo exterior.;False
3;2;P;A;C/ Balmes, 17;240€;240.0;habitacion (regimen A pero precio bajo sugiere por habitacion);habitacion;;2026-08-01;Internet|Comunidad;Piso de estudiantes, a 1,4 km, 16 min andando hasta primera facultad de la UA. Al lado de supermercado, zona centro, mercadillo.;False
4;4;P;A;Calle Portugal, 2;1200€;1200.0;piso_completo;piso_completo;;2026-07-30;Internet|Ascensor|Comunidad|Otros;Alquiler exclusivamente para agosto. A partir de septiembre ya reservado. Se alquila completo, o individualmente contactar.;False
4;1;P;A;C. Francia, 1;250€;250.0;habitacion (regimen A pero precio bajo sugiere por habitacion);habitacion;12.0;2026-07-30;Internet|Ascensor|Comunidad;Alquiler de 1 habitación, duplex de cuatro dormitorios. Cerca de la universidad. Dos baños. Estudiante responsable, organizado, primer curso.;False
3;3;P;A;C. Jijona, 10 2 Iz;825€;825.0;piso_completo;piso_completo;10.0;2026-07-30;Internet|Comunidad;;False
